parmoeda,frequencia,datetime,timestamp,GEP,vela1,vela2,vela3,operacao,ultima_vela,vela_abertura
EURJPY,123.45,2023-08-02 09:18:51.026823,09:18:50,NEUTRO,2.0,1.0,0.0,CALL,156.986105,157.019585
EURGBP,123.99,2023-08-02 09:18:51.026823,09:18:50,NEUTRO,0.0,5.0,0.0,CALL,0.861085,0.86144
EURUSD,124.67,2023-08-02 09:19:50.559400,09:19:50,ALTA,0.0,1.0,0.0,PUT,1.09715,1.0976
EURJPY,123.45,2023-08-02 09:19:50.559400,09:19:50,NEUTRO,1.0,0.0,1.0,CALL,156.959865,156.973785
EURUSD,124.67,2023-08-02 09:20:51.071395,09:20:50,NEUTRO,0.0,0.0,1.0,PUT,1.09733,1.09715
EURJPY,123.45,2023-08-02 09:20:51.071395,09:20:50,NEUTRO,0.0,1.0,2.0,CALL,156.956575,156.983465
EURGBP,123.99,2023-08-02 09:20:51.071395,09:20:50,ALTA,5.0,0.0,2.0,PUT,0.86096,0.86113
EURUSD,124.67,2023-08-02 09:21:50.366445,09:21:50,NEUTRO,1.0,2.0,0.0,CALL,1.097145,1.0973
EURJPY,123.45,2023-08-02 09:21:50.366445,09:21:50,NEUTRO,1.0,0.0,1.0,CALL,156.941345,156.953505
EURUSD,124.67,2023-08-02 09:22:50.908113,09:22:50,ALTA,1.0,1.0,0.0,CALL,1.097305,1.097205
EURJPY,123.45,2023-08-02 09:22:50.908113,09:22:50,NEUTRO,1.0,0.0,0.0,PUT,156.945475,156.949665
EURGBP,123.99,2023-08-02 09:22:50.908113,09:22:50,NEUTRO,1.0,5.0,0.0,PUT,0.86092,0.86104
EURUSD,124.67,2023-08-02 09:23:50.263920,09:23:50,NEUTRO,0.0,1.0,1.0,PUT,1.097075,1.09727
EURJPY,123.45,2023-08-02 09:23:50.263920,09:23:50,ALTA,1.0,0.0,1.0,PUT,156.952365,156.965605
EURUSD,124.67,2023-08-02 09:23:51.283890,09:23:50,NEUTRO,0.0,1.0,1.0,PUT,1.097075,1.09727
EURJPY,123.45,2023-08-02 09:23:51.283890,09:23:50,ALTA,0.0,1.0,0.0,PUT,156.952365,156.965605
EURJPY,123.45,2023-08-02 09:24:50.680958,09:24:50,NEUTRO,1.0,5.0,0.0,PUT,156.950545,156.958485
EURGBP,123.99,2023-08-02 09:24:50.680958,09:24:50,NEUTRO,1.0,1.0,0.0,PUT,0.86111,0.860955
EURUSD,124.67,2023-08-02 09:25:51.187040,09:25:50,ALTA,0.0,0.0,2.0,PUT,1.09681,1.09673
EURJPY,123.45,2023-08-02 09:25:51.187040,09:25:50,ALTA,1.0,4.0,0.0,PUT,156.997015,156.977425
EURUSD,124.67,2023-08-02 09:26:50.590967,09:26:50,NEUTRO,1.0,0.0,2.0,PUT,1.097225,1.09692
EURJPY,123.45,2023-08-02 09:26:50.590967,09:26:50,ALTA,1.0,2.0,1.0,CALL,157.017975,157.004975
EURGBP,123.99,2023-08-02 09:26:50.590967,09:26:50,NEUTRO,1.0,0.0,2.0,PUT,0.860995,0.861
EURUSD,124.67,2023-08-02 09:27:51.051780,09:27:50,NEUTRO,1.0,4.0,4.0,CALL,1.097395,1.09732
EURJPY,123.45,2023-08-02 09:27:51.051780,09:27:50,NEUTRO,1.0,1.0,1.0,CALL,156.953705,157.021435
EURGBP,123.99,2023-08-02 09:27:51.051780,09:27:50,NEUTRO,1.0,0.0,4.0,CALL,0.86093,0.861015
EURUSD,124.67,2023-08-02 09:28:50.390900,09:28:50,NEUTRO,0.0,4.0,0.0,PUT,1.09699,1.097305
EURJPY,123.45,2023-08-02 09:28:50.390900,09:28:50,ALTA,0.0,0.0,0.0,PUT,156.925035,156.976315
